trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1286,False,"{'a': 0.002, 'e': 0.07653554542391151}",25,19,12.710705709530579,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1287,False,"{'a': 0.002, 'e': 0.07638262730215813}",35,28,13.668822746458659,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1288,False,"{'a': 0.002, 'e': 0.07623001471101583}",30,0,48.15590792438909,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1289,False,"{'a': 0.002, 'e': 0.07607770704003398}",20,11,19.268617085821308,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1290,False,"{'a': 0.002, 'e': 0.07592570367998178}",25,15,14.050386828942276,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1291,False,"{'a': 0.002, 'e': 0.07577400402284548}",20,12,12.447656289682493,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1292,False,"{'a': 0.002, 'e': 0.07562260746182634}",30,14,26.636621998998883,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1293,False,"{'a': 0.002, 'e': 0.07547151339133784}",25,11,22.034365072841048,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1294,False,"{'a': 0.002, 'e': 0.07532072120700357}",20,10,17.980648030671503,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1295,False,"{'a': 0.002, 'e': 0.07517023030565453}",25,14,18.573556287996244,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1296,False,"{'a': 0.002, 'e': 0.07502004008532698}",25,0,26.21454693262299,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1297,False,"{'a': 0.002, 'e': 0.07487014994525974}",25,14,-0.9847905578553893,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
1298,False,"{'a': 0.002, 'e': 0.07472055928589216}",25,12,-24.174349500507525,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
1299,False,"{'a': 0.002, 'e': 0.07457126750886131}",25,15,18.853105633945276,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
